* This file is part of Filu (C) 2007, 2010, 2011 loh.tar@googlemail.com
*
* The dummy "database" For the dummy "provider Filu"
*
[Header]RefSymbol;Name;Type;Provider0;Symbol0;Market0;Provider1;Symbol1;Market1
*
* German Stocks Xetra
*
DAX;Deutscher Aktienindex DAX30;Index;Yahoo;^GDAXI;Xetra
ADS;Adidas;Stock;Yahoo;ADS.DE;Xetra;Reuters;ADS;NoMarket
ALV;Allianz;Stock;Yahoo;ALV.DE;Xetra;Reuters;ALV;NoMarket
BAS;BASF;Stock;Yahoo;BAS.DE;Xetra;Reuters;BAS;NoMarket
BAYN;Bayer;Stock;Yahoo;BAYN.DE;Xetra;Reuters;BAYN;NoMarket
BEI;Beiersdorf;Stock;Yahoo;BEI.DE;Xetra;Reuters;BEI;NoMarket
BMW;BMW;Stock;Yahoo;BMW.DE;Xetra;Reuters;BMW;NoMarket
CBK;Commerzbank;Stock;Yahoo;CBK.DE;Xetra;Reuters;CBK;NoMarket
DAI;Daimler;Stock;Yahoo;DAI.DE;Xetra;Reuters;DAI;NoMarket
DB1;Deutsche Boerse;Stock;Yahoo;DB1.DE;Xetra;Reuters;DB1;NoMarket
DBK;Deutsche Bank;Stock;Yahoo;DBK.DE;Xetra;Reuters;DBK;NoMarket
DPW;Deutsche Post;Stock;Yahoo;DPW.DE;Xetra;Reuters;DPW;NoMarket
DTE;Deutsche Telekom;Stock;Yahoo;DTE.DE;Xetra;Reuters;DTE;NoMarket
EOAN;E.ON;Stock;Yahoo;EOAN.DE;Xetra;Reuters;EOAN;NoMarket
FME;Fresenius Med Care;Stock;Yahoo;FME.DE;Xetra;Reuters;FME;NoMarket
FRE3;Fresenius VZ;Stock;Yahoo;FRE3.DE;Xetra;Reuters;FRE3;NoMarket
HEN3;HenkeL VZ;Stock;Yahoo;HEN3.DE;Xetra;Reuters;HEN3;NoMarket
IFX;Infineon Technologies;Stock;Yahoo;IFX.DE;Xetra;Reuters;IFX;NoMarket
LHA;Dt.Lufthansa;Stock;Yahoo;LHA.DE;Xetra;Reuters;LHA;NoMarket
LIN;Linde;Stock;Yahoo;LIN.DE;Xetra;Reuters;LIN;NoMarket
MAN;MAN;Stock;Yahoo;MAN.DE;Xetra;Reuters;MAN;NoMarket
MEO;METRO;Stock;Yahoo;MEO.DE;Xetra;Reuters;MEO;NoMarket
MRK;Merck;Stock;Yahoo;MRK.DE;Xetra;Reuters;MRK;NoMarket
MUV2;Muenchner Rueckversicherung;Stock;Yahoo;MUV2.DE;Xetra;Reuters;MUV2;NoMarket
RWE;RWE;Stock;Yahoo;RWE.DE;Xetra;Reuters;RWE;NoMarket
SAP;SAP;Stock;Yahoo;SAP.DE;Xetra;Reuters;SAP;NoMarket
SDF;K+S ;Stock;Yahoo;SDF.DE;Xetra;Reuters;SDF;NoMarket
SIE;Siemens;Stock;Yahoo;SIE.DE;Xetra;Reuters;SIE;NoMarket
SZG;Salzgitter;Stock;Yahoo;SZG.DE;Xetra;Reuters;SZG;NoMarket
